"지역별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"지역별(1)","성별(1)",급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명)
"지역별(1)","성별(1)",계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력
"충북","계",504,134,55,43,0,1,264,4,3,0,1736,670,138,139,0,0,774,11,3,1,922,520,86,77,2,1,231,4,0,1,2483,1237,201,180,4,2,846,8,3,2
"충북","남",361,101,40,29,0,1,184,4,2,0,911,370,61,79,0,0,391,6,3,1,613,353,62,54,1,0,139,4,0,0,1590,798,129,116,4,1,532,7,2,1
"충북","여",143,33,15,14,0,0,80,0,1,0,825,300,77,60,0,0,383,5,0,0,309,167,24,23,1,1,92,0,0,1,893,439,72,64,0,1,314,1,1,1
"충남","계",815,184,78,199,4,0,202,129,19,0,2500,785,236,413,0,0,518,458,89,1,1943,755,370,441,2,0,175,178,21,1,3855,1661,352,670,5,0,569,512,81,5
"충남","남",546,129,50,127,4,0,132,91,13,0,1321,425,111,215,0,0,282,249,38,1,1337,532,238,325,1,0,115,119,6,1,2616,1106,232,487,4,0,388,351,44,4
"충남","여",269,55,28,72,0,0,70,38,6,0,1179,360,125,198,0,0,236,209,51,0,606,223,132,116,1,0,60,59,15,0,1239,555,120,183,1,0,181,161,37,1
"전북","계",994,215,138,176,0,4,440,19,2,0,4042,1210,398,536,2,6,1820,59,11,0,1834,829,179,381,4,6,423,9,3,0,4384,1971,400,602,8,12,1356,27,8,0
"전북","남",659,141,83,118,0,3,297,16,1,0,2096,631,200,234,1,1,988,38,3,0,1229,562,125,252,4,6,273,7,0,0,2943,1350,265,394,7,12,885,25,5,0
"전북","여",335,74,55,58,0,1,143,3,1,0,1946,579,198,302,1,5,832,21,8,0,605,267,54,129,0,0,150,2,3,0,1441,621,135,208,1,0,471,2,3,0
"전남","계",538,80,82,145,0,15,213,2,1,0,1762,599,156,253,2,43,660,34,15,0,985,428,97,177,0,29,240,7,7,0,3237,1366,238,353,7,76,1152,20,25,0
"전남","남",363,52,56,90,0,10,152,2,1,0,979,343,88,130,2,22,369,15,10,0,656,285,64,118,0,17,161,5,6,0,2046,850,136,226,5,53,747,13,16,0
"전남","여",175,28,26,55,0,5,61,0,0,0,783,256,68,123,0,21,291,19,5,0,329,143,33,59,0,12,79,2,1,0,1191,516,102,127,2,23,405,7,9,0
"경북","계",1213,271,147,172,0,11,560,43,9,0,3901,1437,435,391,7,37,1489,69,36,0,2436,1291,265,285,8,20,529,32,6,0,8070,3649,487,605,20,30,3124,139,16,0
"경북","남",850,197,93,98,0,8,420,30,4,0,1954,726,209,191,7,20,749,31,21,0,1629,855,192,191,6,16,342,22,5,0,5244,2368,301,376,16,26,2060,88,9,0
"경북","여",363,74,54,74,0,3,140,13,5,0,1947,711,226,200,0,17,740,38,15,0,807,436,73,94,2,4,187,10,1,0,2826,1281,186,229,4,4,1064,51,7,0
"경남","계",1611,270,265,308,0,1,739,26,2,0,4118,1160,534,694,0,0,1630,70,29,1,2140,844,378,406,2,5,478,17,10,0,5303,2084,615,802,9,11,1614,141,27,0
"경남","남",1093,181,165,203,0,0,520,23,1,0,2250,651,267,372,0,0,900,44,16,0,1421,570,236,276,1,5,315,10,8,0,3481,1369,396,543,8,9,1052,85,19,0
"경남","여",518,89,100,105,0,1,219,3,1,0,1868,509,267,322,0,0,730,26,13,1,719,274,142,130,1,0,163,7,2,0,1822,715,219,259,1,2,562,56,8,0
"제주","계",418,163,73,2,0,1,142,35,2,0,1610,764,201,6,3,5,546,64,21,0,925,594,136,5,4,4,150,26,6,0,2785,1589,243,9,7,6,706,200,25,0
"제주","남",295,103,56,2,0,1,103,28,2,0,881,433,107,4,3,2,286,37,9,0,586,372,92,3,3,3,90,20,3,0,1687,933,155,5,6,6,445,124,13,0
"제주","여",123,60,17,0,0,0,39,7,0,0,729,331,94,2,0,3,260,27,12,0,339,222,44,2,1,1,60,6,3,0,1098,656,88,4,1,0,261,76,12,0
